,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
LM 4_Z,-0.06392698784830192,-0.01962764518101727,-0.07715148673446384,0.035520266990373875,-0.1630649796997604,-0.04460616661324701,-0.0071260186933085334,-0.05929475102309445,0.07700624706387582,0.045694547706083916,-0.1833748441788752,-0.04749938390223424,-0.0064288751646803255,0.2234097550459957,0.014232577992313864
LM 5_X,0.0388537741072234,-0.07936142912679171,-0.02787796915504554,-0.004263810776440155,-0.09109296559719535,-0.021385484740557528,0.0556070339154191,-0.03698805281737998,0.006966471588808181,0.01729707372521766,0.0645503008858268,-0.06674038503234031,-0.016784054145891847,0.07337560647605718,0.00848346188287693
LM 5_Y,-0.06526815058983138,0.0756329498747751,0.03981403124387716,-0.00544432727488506,0.05276689047308246,-0.00019052996043988218,-0.03768969275651035,0.025903501079331592,0.0810685342567874,-0.06253878663986354,-0.05439769154937229,0.06352173898123278,-0.05427337456421638,0.004901027570710648,-0.09014398118164058
LM 5_Z,0.01882456432579416,-0.03303285760841106,-0.00506480440942184,0.08759005105833054,0.021054048064484833,-0.027994058765416996,0.024307778975280886,-0.021478320112885918,-0.0022872650510571413,-0.008747089854049428,-0.03895881556672143,0.007031270177743076,0.07672677540628103,0.038984537008418224,0.04803429712919019
LM 6_X,-0.009422308515048074,0.007339614648077521,-0.012461501888871438,-0.03252057031374478,-0.06397231851614485,-0.021622971390027935,-0.04200733499245453,-0.025616654706728643,-0.09448628721835206,0.07014661061096546,-0.007514697102522127,-0.04642588451879205,0.002276151161057114,0.07218480934377415,0.07932675463133643
LM 6_Y,0.010774855572242071,0.02176239171709903,-0.033178796203072854,-0.05220139369359516,0.05003954779587349,-0.03845036151965663,-0.002135853256572806,-0.04341271236332549,-0.10561696575284168,0.03733307364551113,0.05512125576540916,0.05639348591721323,-0.011315892664955347,0.012199154000941542,0.06294228937833268
LM 6_Z,-0.002525357384458093,0.006244500546946283,0.012465258387640153,0.018422834302725236,-0.0022329652659001118,0.029736888657248474,-0.007119013681797146,-0.0007438746426456133,0.0755726262329818,0.0019327858652127044,-0.07723050791259566,-0.03279373280932631,0.015317466121471387,-0.05202908859747009,0.12946830506668727
LM 7_X,0.015455134065261361,0.030631562834831913,-0.039029379276606845,-0.04328086959478105,0.03227369371734602,-0.015098719498749413,0.025331891282412505,0.02398532345962601,-0.09993566361030418,0.0026347737984319234,0.007197495869164943,0.044995952430034285,0.017212787767646457,0.006058351091253475,0.21297626902013383
LM 7_Y,-0.005322012801790156,0.0035172202548795187,0.036602747843603435,0.029564176957219353,0.010579787898220033,0.03746618349329442,-0.04037270364559445,-0.0379787527076133,0.09827196161331882,0.01652920157952643,-0.006903104471479432,-0.04423346367741342,0.010227762807227205,-0.06000200155179431,0.26920911843297957
LM 7_Z,0.013037333523169877,0.03968541658079957,-0.13512295936224122,-0.03146628760654502,0.07584798789504955,0.023959999268701467,0.15549354476620048,0.02290237392108584,-0.1157328500624868,0.07729790587025284,-0.021424617016010002,0.0988583453314097,0.03231219805344396,-0.031951918826015016,-0.30000426480000897
LM 8_X,-0.003859849837929444,-0.006567833515157986,0.10485337909349234,0.02084726188547245,-0.02919554804595523,0.013008574728067929,-0.09911028560665894,0.016474413711620613,0.14756670426003982,-0.041423319710819584,0.021766928009632345,-0.12940497816161906,0.00799653973611623,-0.00547636475759079,-0.143171993577557
